Customer_ID,Age,Gender,Location,Purchase_Amount,Product_Category,Clicked_Ad,Browsing_History,Interest_Score,Churn_Risk
1462,21,F,MG,3308.26,Beleza,Não,"['http://zuniga.net/', 'http://www.hoffman-dunn.com/', 'https://www.myers.com/']",0.67,Low
4465,57,F,SC,3081.58,Games,Não,"['https://martin.com/', 'https://mills.com/', 'http://www.castaneda.org/', 'http://lawrence-jones.com/', 'https://brooks.net/']",0.62,Low
2001,27,F,RS,563.87,Eletronicos,Não,"['http://price-joyce.com/', 'https://sims.com/', 'https://evans.com/', 'http://www.coleman.com/', 'https://www.cardenas.org/', 'http://jackson-brown.biz/']",0.85,High
8886,66,M,SC,6858.62,Saúde,Não,"['http://hudson.org/', 'http://hernandez.biz/', 'https://www.mcdaniel-petersen.com/', 'https://greene.info/', 'https://hunter.com/', 'http://williams.net/', 'https://miller.com/', 'http://www.taylor.net/', 'https://evans.com/']",0.6,Medium
5215,59,F,AM,7410.2,Games,Sim,"['http://ray.com/', 'https://www.smith.info/', 'http://www.payne-murray.biz/', 'https://williamson.biz/']",0.79,High
9179,50,M,RS,8502.35,Eletronicos,Sim,"['http://patterson-flores.biz/', 'http://www.stein.com/', 'https://www.padilla.com/', 'http://murray.net/', 'https://hicks-tran.com/', 'https://williams-flynn.net/', 'http://www.fleming.com/', 'http://www.gonzalez-nash.net/', 'https://white-roberts.info/', 'http://barrett.com/']",0.94,High
6731,38,F,MG,5067.29,Games,Não,"['https://mullen.org/', 'https://long.com/', 'https://www.moore.org/', 'https://www.jones.info/']",0.58,High
2737,80,F,SC,4457.38,Esportes,Não,"['http://smith.com/', 'http://jimenez-perez.org/', 'http://www.fuentes.com/', 'https://www.martinez.biz/', 'http://www.frederick.info/', 'https://wilson.com/', 'http://www.chapman-herrera.com/', 'http://www.strickland.com/']",0.65,Medium
2748,51,F,BA,7697.9,Brinquedos,Não,"['https://scott.net/', 'https://www.shah.com/', 'http://www.johnson.com/', 'http://cook.com/', 'http://www.williams.com/', 'http://www.gallagher-wallace.com/', 'http://hogan.com/', 'http://ryan.net/', 'https://jenkins.com/']",0.54,Low
5030,48,F,SP,5778.86,Livros,Não,"['http://davis.biz/', 'http://www.le.net/', 'https://murphy-gibbs.com/', 'http://www.collins-anderson.com/']",0.57,Low
4162,73,M,SC,9116.88,Moda,Sim,"['http://www.smith.org/', 'http://www.buck.com/', 'https://www.garcia.com/', 'http://www.rodriguez-alvarado.com/', 'http://www.miller.com/', 'https://www.spears.biz/']",0.71,Medium
1624,34,F,BA,7465.51,Moda,Não,"['http://bates.com/', 'http://www.bates.com/', 'http://www.jackson.com/', 'https://www.tyler.net/', 'https://www.johnson-contreras.com/']",0.65,High
4488,62,M,BA,1570.74,Casa,Não,"['https://obrien.com/', 'https://www.hill.com/', 'https://www.randall-martinez.com/']",0.56,Low
9227,41,F,SP,4041.35,Casa,Sim,"['https://mendoza.biz/', 'http://www.noble-turner.com/', 'http://myers.org/', 'https://nash-chandler.com/', 'http://www.erickson.biz/', 'https://smith.net/', 'https://thomas.net/', 'http://perry.com/', 'http://www.callahan.com/']",0.56,Low
8866,68,F,DF,3806.2,Livros,Sim,"['http://www.king-harris.com/', 'https://rowe.com/', 'http://blevins.com/', 'https://www.cannon-bryant.com/', 'https://www.johnson.org/', 'https://smith.com/', 'https://anderson.com/', 'http://goodman.com/', 'http://www.lopez-allen.com/']",0.77,Low
4201,48,M,RJ,7169.76,Esportes,Sim,['https://www.clark.com/'],0.85,High
7807,41,M,MG,4285.33,Eletronicos,Não,"['https://richards.com/', 'https://www.doyle.info/', 'https://leblanc-shannon.com/', 'http://vazquez.info/', 'http://www.ramirez-johnson.com/']",0.58,High
6898,29,M,PR,5099.93,Livros,Não,"['https://mills-whitaker.info/', 'http://thompson.com/']",0.6,Medium
2424,41,M,BA,1655.32,Games,Não,"['https://www.franklin.com/', 'https://mitchell.com/', 'https://www.bowman.com/']",0.52,Low
8332,78,M,BA,9849.51,Beleza,Sim,"['http://reyes.org/', 'https://brown.info/', 'https://www.morrison.com/', 'http://long.com/', 'http://www.griffin-stevens.com/', 'https://larson-morales.com/', 'http://www.austin.com/', 'http://bennett.com/', 'http://www.adkins.com/', 'http://levine-ramirez.info/']",0.95,Low
4057,75,M,AM,2782.87,Beleza,Sim,"['https://mclaughlin.biz/', 'https://fox-lopez.com/', 'http://cummings.com/']",0.53,High
2103,76,F,SP,9462.82,Beleza,Não,"['http://www.allen.biz/', 'https://rose-fisher.com/', 'http://evans.com/', 'http://reeves.com/', 'http://www.smith.org/', 'http://www.ward-simon.net/', 'https://www.walker.info/']",0.85,Low
4512,60,F,RJ,8787.25,Saúde,Não,"['https://donaldson-mullins.com/', 'https://www.martinez.com/', 'http://collins-henson.biz/', 'http://www.salinas.com/', 'http://mclaughlin-mcdaniel.info/', 'http://mcgee.com/', 'http://stout-warner.com/', 'https://www.lopez.com/']",0.54,High
5232,44,M,PA,8002.25,Eletronicos,Sim,"['https://www.walsh.org/', 'https://bryant.com/']",0.89,Medium
4089,58,M,AM,7505.85,Brinquedos,Não,"['http://www.anderson.biz/', 'https://www.freeman.com/']",0.96,Medium
3745,47,M,BA,9809.33,Brinquedos,Sim,"['https://hodge.com/', 'http://www.short.info/', 'https://johnson-wilson.com/', 'http://torres.com/', 'http://www.brown.org/', 'https://murillo-brown.com/', 'https://www.martin.net/', 'http://macdonald.com/']",0.62,Medium
9368,45,F,PR,9191.63,Beleza,Não,"['https://www.fowler.com/', 'https://www.dunn-bolton.org/', 'http://espinoza.net/', 'https://warren.com/']",0.65,High
7931,44,F,PR,3431.8,Casa,Sim,"['http://banks.com/', 'https://www.garrett-cook.com/', 'http://www.paul.com/', 'http://www.williams.com/', 'https://www.malone.com/', 'http://www.bradford.net/', 'http://www.fields.com/', 'http://www.bailey.com/']",0.75,High
8260,60,F,RS,619.61,Esportes,Não,"['http://jefferson-ward.org/', 'http://smith-thomas.info/', 'https://fernandez-hernandez.com/', 'https://schultz.com/', 'https://riddle.net/']",0.86,Medium
8313,74,M,BA,5082.25,Beleza,Não,"['http://www.villarreal.net/', 'http://www.ferguson.info/', 'http://thornton.com/', 'https://edwards.com/', 'http://www.johnson-jones.com/']",0.6,High
7744,80,F,BA,4071.46,Casa,Sim,"['https://www.gibson.net/', 'http://www.smith-francis.com/']",0.75,Low
2355,79,M,PR,2353.88,Beleza,Sim,"['https://www.gonzales.org/', 'https://www.cordova-meyer.org/', 'http://zimmerman-fletcher.com/', 'https://white.com/', 'http://tapia.com/', 'http://www.leonard.com/', 'https://www.thomas-forbes.com/', 'https://coleman.com/']",0.95,Medium
3734,47,F,BA,3172.59,Eletronicos,Não,"['http://stein.info/', 'http://www.gilbert.com/', 'http://kennedy-rice.net/', 'http://www.garner-howard.net/', 'http://conrad.com/', 'http://www.stokes-blake.net/', 'http://garcia.info/', 'http://www.vasquez.biz/', 'https://luna.info/', 'http://www.gomez.net/']",0.92,Low
3115,20,M,DF,3960.48,Moda,Sim,"['https://kelley.com/', 'http://nguyen.biz/', 'http://hall.com/', 'http://jimenez.com/', 'https://www.morton.com/']",0.67,High
5069,18,F,SC,4908.31,Livros,Não,['http://www.robles-henry.net/'],0.9,Medium
1408,47,M,PA,8772.09,Moda,Sim,['https://sanchez.info/'],0.64,Medium
7809,42,M,RS,6320.3,Casa,Não,"['http://www.watson-jackson.com/', 'https://malone.org/', 'https://wolf.biz/', 'http://anderson.com/', 'https://peters.com/']",0.69,Medium
5159,37,F,MG,3346.92,Casa,Sim,"['https://www.carter-smith.com/', 'http://mitchell-franklin.info/', 'http://www.davis-mcclure.com/']",0.61,Medium
3101,62,F,BA,7261.43,Beleza,Não,"['http://www.brown.com/', 'http://duran-barr.com/', 'http://harvey.com/', 'http://medina.info/', 'http://hart-simon.com/', 'http://woodard-wong.com/']",0.65,Low
9214,52,M,AM,95.87,Eletronicos,Sim,"['https://harmon.net/', 'https://bryant.net/', 'http://houston.com/', 'http://www.jones.com/', 'https://www.alexander.info/', 'http://www.wilson.com/']",0.81,Low
4632,34,F,BA,1988.08,Livros,Sim,"['https://callahan.com/', 'http://hamilton.com/', 'http://www.smith.com/', 'http://www.perez.org/', 'https://www.kennedy.com/', 'http://www.alvarez-white.com/', 'http://www.morris-jones.com/', 'https://www.larsen.biz/', 'https://meadows.com/', 'https://flores.com/']",0.81,Medium
7084,20,F,PR,6126.81,Casa,Não,"['http://www.smith.com/', 'https://giles.com/', 'https://ponce.com/', 'http://www.berg.com/', 'https://www.pierce.com/', 'http://www.edwards.com/', 'https://greene.com/', 'http://www.anderson.com/']",0.7,High
8773,22,M,SC,6328.79,Saúde,Não,"['http://www.hill-hall.org/', 'https://www.hall.com/', 'https://ayala.net/', 'https://miranda-ruiz.com/', 'https://davis.com/', 'http://jones.biz/', 'http://www.campbell.info/', 'http://www.jones-davis.com/']",0.7,Low
6365,54,F,RJ,4287.12,Games,Sim,"['http://www.hampton.com/', 'https://www.anderson-allen.org/', 'https://www.black-gross.com/', 'http://hernandez-hall.biz/', 'https://www.bell-martinez.com/', 'https://www.johnson.biz/', 'http://parks.info/']",0.9,Low
5755,45,F,PR,2991.63,Games,Não,['http://baker.net/'],0.81,High
2819,67,F,DF,743.8,Esportes,Sim,"['https://richardson.com/', 'http://reyes.com/', 'http://www.wilson.org/', 'https://www.taylor.com/', 'http://www.garrison-wilson.com/']",0.54,Low
